production_id,play_id,producer_id,production_ticket_price,production_date
1,1,1,25.00,2025-01-04
2,2,2,30.00,2025-01-07
3,3,3,35.00,2025-01-10
4,4,4,40.00,2025-01-13
5,5,5,20.00,2025-01-16
6,6,6,25.00,2025-01-19
7,7,7,30.00,2025-01-22
8,8,8,35.00,2025-01-25
9,9,9,40.00,2025-01-28
10,10,10,20.00,2025-01-31
11,11,11,25.00,2025-02-03
12,12,12,30.00,2025-02-06
13,13,13,35.00,2025-02-09
14,14,14,40.00,2025-02-12
15,15,15,20.00,2025-02-15
16,16,16,25.00,2025-02-18
17,17,17,30.00,2025-02-21
18,18,18,35.00,2025-02-24
19,19,19,40.00,2025-02-27
20,20,20,20.00,2025-03-02
21,21,21,25.00,2025-03-05
22,22,22,30.00,2025-03-08
23,23,23,35.00,2025-03-11
24,24,24,40.00,2025-03-14
25,25,25,20.00,2025-03-17
26,26,26,25.00,2025-03-20
27,27,27,30.00,2025-03-23
28,28,28,35.00,2025-03-26
29,29,29,40.00,2025-03-29
30,30,30,20.00,2025-04-01
31,31,31,25.00,2025-04-04
32,32,32,30.00,2025-04-07
33,33,33,35.00,2025-04-10
34,34,34,40.00,2025-04-13
35,35,35,20.00,2025-04-16
36,36,36,25.00,2025-04-19
37,37,37,30.00,2025-04-22
38,38,38,35.00,2025-04-25
39,39,39,40.00,2025-04-28
40,40,40,20.00,2025-05-01
41,41,41,25.00,2025-05-04
42,42,42,30.00,2025-05-07
43,43,43,35.00,2025-05-10
44,44,44,40.00,2025-05-13
45,45,45,20.00,2025-05-16
46,46,46,25.00,2025-05-19
47,47,47,30.00,2025-05-22
48,48,48,35.00,2025-05-25
49,49,49,40.00,2025-05-28
50,50,50,20.00,2025-05-31
